ID,Replicate,Treatment,T0,T1,T2,T3,T4
72,2,HNO3 50%,-0.472715573,1.385636872,1.406265182,1.654260917,2.169341309
73,3,HNO3 50%,0.393807345,1.59791778,1.526336823,1.240472173,2.269862738
74,4,HNO3 50%,1.45537162,1.932274693,2.19550983,2.483376209,3.084355437
75,5,HNO3 50%,-1.090011246,0.199074392,0.845003187,1.033578593,1.239240137
76,6,HNO3 50%,1.208606867,2.213060421,2.528172364,2.666256411,2.262934443
77,7,HNO3 50%,-0.878345566,2.039417067,2.012170448,2.411333963,2.506929881
78,8,HNO3 50%,1.200600475,2.539873285,2.817270779,3.346053296,3.135001789
79,9,HNO3 50%,-0.153292819,0.989399247,1.302970749,1.609617119,1.510636659
80,10,HNO3 50%,-0.490265109,1.190288692,1.256943612,1.512944685,1.770945906
81,1,KOH 10%,1.526619253,2.792048906,3.560644344,3.675278492,4.629860546
82,2,KOH 10%,0.082290977,0.219221312,1.539998403,2.251671592,1.862126602
83,3,KOH 10%,-0.880947593,0.659128787,0.63473495,0.621357597,2.066736945
84,4,KOH 10%,0.649948533,1.339585159,1.378934753,2.254031561,2.507958708
85,5,KOH 10%,-0.580067204,0.075205679,1.229674543,1.746180861,1.888097046
86,6,KOH 10%,-0.060411266,-0.204425103,1.245676879,1.457631246,1.745133383
87,7,KOH 10%,-1.060373548,1.032935557,2.968065618,2.94760656,3.009250544
88,8,KOH 10%,0.823604377,2.385191784,1.818321184,2.846876199,2.881764579
89,9,KOH 10%,-1.514448926,0.220271485,1.270597151,1.633910276,1.044738997
90,10,KOH 10%,1.013785397,3.192086642,4.340259859,4.490567547,5.083672707
