"",".id","Label","area","number","circ","AR"
"47","./datasets/Results_NaClO.csv","2nd_2pc_G.tif (RGB)",0.009810645,32,0.6771010628125,2.315141059875
"48","./datasets/Results_NaClO.csv","2nd_2pc_H.tif (RGB)",0.008344507,28,0.671853692357143,2.33850500885714
"49","./datasets/Results_NaClO.csv","2nd_2pc_I.tif (RGB)",0.007881688,28,0.701233896964286,1.93269766157143
"50","./datasets/Results_NaClO.csv","2nd_2pc_J.tif (RGB)",0.008762655,34,0.725799411205882,2.10950484955882
"51","./datasets/Results_NaClO.csv","2nd_Wat_A.tif (RGB)",0.010788556,24,0.628905818833333,2.34625743241667
"52","./datasets/Results_NaClO.csv","2nd_Wat_B.tif (RGB)",0.013484311,26,0.566219204076923,3.25659023342308
"53","./datasets/Results_NaClO.csv","2nd_Wat_C.tif (RGB)",0.012270458,39,0.621184522923077,3.40695973815385
"54","./datasets/Results_NaClO.csv","2nd_Wat_D.tif (RGB)",0.011669229,29,0.604497380482759,2.83309465165517
"55","./datasets/Results_NaClO.csv","2nd_Wat_E.tif (RGB)",0.011324086,26,0.689916810692308,2.087036162
"56","./datasets/Results_NaClO.csv","2nd_Wat_F.tif (RGB)",0.011960941,35,0.686166572942857,2.38586593171429
"57","./datasets/Results_NaClO.csv","2nd_Wat_G.tif (RGB)",0.010638175,32,0.5908709088125,3.359188845125
"58","./datasets/Results_NaClO.csv","2nd_Wat_H.tif (RGB)",0.012642762,26,0.673167346807692,2.28765362669231
"59","./datasets/Results_NaClO.csv","2nd_Wat_I.tif (RGB)",0.009896493,35,0.632649276514286,3.6883492808
"60","./datasets/Results_NaClO.csv","2nd_Wat_J.tif (RGB)",0.011263056,27,0.614776589703704,2.76859006103704
"61","./datasets/Results_NaClO.csv","3rd_15pc_A.tif (RGB)",0.007014444,23,0.62798217973913,2.49476233278261
"62","./datasets/Results_NaClO.csv","3rd_15pc_B.tif (RGB)",0.00523908,21,0.702743845428571,2.44934497066667
"63","./datasets/Results_NaClO.csv","3rd_15pc_C.tif (RGB)",0.010691027,23,0.685290799826087,2.17387655843478
"64","./datasets/Results_NaClO.csv","3rd_15pc_D.tif (RGB)",0.007566328,23,0.665761390652174,2.31015291091304
"65","./datasets/Results_NaClO.csv","3rd_15pc_E.tif (RGB)",0.009706108,21,0.650444784666667,2.338584271
"66","./datasets/Results_NaClO.csv","3rd_15pc_F.tif (RGB)",0.009672237,22,0.624223480954545,2.69401192513636
"67","./datasets/Results_NaClO.csv","3rd_15pc_G.tif (RGB)",0.006795442,19,0.614593998473684,2.44229840857895
"68","./datasets/Results_NaClO.csv","3rd_15pc_H.tif (RGB)",0.007013859,18,0.686352445611111,2.29423101933333
"69","./datasets/Results_NaClO.csv","3rd_15pc_I.tif (RGB)",0.007364845,23,0.752208414391304,1.83348695908696
"70","./datasets/Results_NaClO.csv","3rd_15pc_J.tif (RGB)",0.007539461,16,0.6676646776875,2.23944844375
"71","./datasets/Results_NaClO.csv","3rd_2pc_A.tif (RGB)",0.005190899,20,0.67249029265,3.1170383273
