Level,Top cm,Bottom cm,Pic Label,INTERVAL,Seq,Treatment,Area,Numbers,Circ,AR
Level6,-14,-13,C_-14-13.csv,Holocene,C,HNO3,0.001544976,8,0.532665345,3.806746226
Level7,-13,-12,C_-13-12.csv,Holocene,C,HNO3,0.005971125,32,0.496526947,4.490436304
Level8,-12,-11,C_-12-11.csv,Holocene,C,HNO3,0.000201188,2,0.711936906,2.177979183
Level9,-11,-10,C_-11-10.csv,Holocene,C,HNO3,0.000139868,1,0.322815001,6.638472685
Level10,20,19,C_20-19.csv,Younger Dryas,C,HNO3,0.001057627,9,0.418935014,5.499898997
Level11,19,18,C_19-18.csv,Younger Dryas,C,HNO3,0.000126436,1,0.222943332,9.040403557
Level12,18,17,C_18-17.csv,Younger Dryas,C,HNO3,0.00201685,7,0.590559652,2.850056746
Level13,17,16,C_17-16.csv,Younger Dryas,C,HNO3,0.00267064,12,0.609566611,3.067443426
Level14,16,15,C_16-15.csv,Younger Dryas,C,HNO3,0.001337946,15,0.557630065,4.582798654
Level15,15,14,C_15-14.csv,Younger Dryas,C,HNO3,0.001570965,5,0.643350099,2.569756
Level16,14,13,C_14-13.csv,Younger Dryas,C,HNO3,0.001597828,7,0.612125668,2.973398677
Level17,13,12,C_13-12.csv,Younger Dryas,C,HNO3,0.001425548,5,0.696428732,2.424599063
Level18,12,11,C_11-10.csv,Younger Dryas,C,HNO3,0.003727683,8,0.595275828,2.596342103
Level19,45,44,n/a,GI-1,C,HNO3,0.00E+00,0,0,0
Level20,44,43,n/a,GI-1,C,HNO3,0.00E+00,0,0,0
Level21,43,42,n/a,GI-1,C,HNO3,0,0,0,0
Level22,42,41,n/a,GI-1,C,HNO3,0,0,0,0
Level23,41,40,C_41-40.csv,GI-1,C,HNO3,0.029428421,138,0.465970477,5.156631532
Level24,40,39,C_40-39.csv,GI-1,C,HNO3,0.00519849,30,0.544947504,3.649642473
Level25,39,38,C_39-38.csv,GI-1,C,HNO3,0.001261442,9,0.441355816,4.610733941
Level26,38,37,C_38-37.csv,GI-1,C,HNO3,4.79E-05,1,0.405905604,3.293728642
Level27,37,36,C_37-36.csv,GI-1,C,HNO3,0.000630722,2,0.55514442,3.141220133
Level1,-19,-18,n/a,Holocene,F,HNO3,0,0,0,0
Level2,-18,-17,F_-18-17.csv,Holocene,F,HNO3,0.001775364,9,0.553648442,3.663099353
Level3,-17,-16,F_-17-16.csv,Holocene,F,HNO3,0.000425152,7,0.670578671,3.240637124
Level4,-16,-15,F_-16-15.csv,Holocene,F,HNO3,0.011348609,70,0.60365855,3.219442334
Level5,-15,-14,F_-15-14.csv,Holocene,F,HNO3,0.004196341,26,0.530993354,3.739102365
Level6,-14,-13,F_-14-13.csv,Holocene,F,HNO3,0.000988129,6,0.655398649,2.647082325
Level7,-13,-12,F_-13-12.csv,Holocene,F,HNO3,0.005991272,28,0.520625533,3.942669448
Level8,-12,-11,F_-12-11.csv,Holocene,F,HNO3,0.000858189,7,0.483974149,4.822200656
Level9,-11,-10,F_-11-10.csv,Holocene,F,HNO3,0.000666638,5,0.507487665,4.662438515
Level10,20,19,F_20-19.csv,Younger Dryas,F,HNO3,0.000834246,6,0.413413501,4.111181506
Level11,19,18,n/a,Younger Dryas,F,HNO3,0,0,0,0
Level12,18,17,n/a,Younger Dryas,F,HNO3,0,0,0,0
Level13,17,16,F_17-16.csv,Younger Dryas,F,HNO3,0.002182415,6,0.60338631,2.157459884
Level14,16,15,F_16-15.csv,Younger Dryas,F,HNO3,0.001877274,11,0.542550409,3.692934278
Level15,15,14,F_15-14.csv,Younger Dryas,F,HNO3,0.001714629,3,0.521577867,1.819598751
Level16,14,13,F_14-13.csv,Younger Dryas,F,HNO3,0.001059671,7,0.540082094,4.900944538
Level17,13,12,F_13-12.csv,Younger Dryas,F,HNO3,0.000481509,4,0.605000522,3.18833916
Level18,12,11,n/a,Younger Dryas,F,HNO3,0,0,0,0
Level19,45,44,n/a,GI-1,F,HNO3,0.00E+00,0,0,0
Level20,44,43,n/a,GI-1,F,HNO3,0.00E+00,0,0,0
Level21,43,42,F_43-42.csv,GI-1,F,HNO3,0.000414933,4,0.61102029,2.275721496
Level22,42,41,F_42-41.csv,GI-1,F,HNO3,0.000515382,3,0.602962786,2.81114939
Level23,41,40,F_41-40.csv,GI-1,F,HNO3,0.027426462,160,0.477668217,4.872737611
Level24,40,39,F_40-39.csv,GI-1,F,HNO3,0.002474123,16,0.596063392,3.944824794
Level25,39,38,F_39-38.csv,GI-1,F,HNO3,0.00086841,5,0.578615753,2.357301685
Level26,38,37,F_38-37.csv,GI-1,F,HNO3,4.38E-05,1,0.626080662,2.452706115
Level27,37,36,F_37-36.csv,GI-1,F,HNO3,0.000406758,2,0.63914659,2.246635785
Level1,-19,-18,n/a,Holocene,G,NaClO,0,0,0,0
Level2,-18,-17,G_-18-17.csv,Holocene,G,NaClO,0.003429842,4,0.649116169,1.729416712
Level3,-17,-16,G_-17-16.csv,Holocene,G,NaClO,0.000185129,1,0.24023858,6.864201431
Level4,-16,-15,n/a,Holocene,G,NaClO,0,0,0,0
Level5,-15,-14,G_-15-14.csv,Holocene,G,NaClO,0.000309228,9,0.520644956,3.905750981
Level6,-14,-13,G_-14-13.csv,Holocene,G,NaClO,0.00048005,2,0.357062392,5.087432137
Level7,-13,-12,n/a,Holocene,G,NaClO,0,0,0,0
Level8,-12,-11,G_-12-11.csv,Holocene,G,NaClO,0.0004453,12,0.639036688,3.014682059
Level9,-11,-10,G_-11-10.csv,Holocene,G,NaClO,8.03E-05,1,0.750866858,2.056621555
Level10,20,19,G_20-19.csv,Younger Dryas,G,NaClO,0.000368212,5,0.470819114,5.202363436
Level11,19,18,G_19-18.csv,Younger Dryas,G,NaClO,0.000298132,4,0.768023894,2.451150166
Level12,18,17,G_18-17.csv,Younger Dryas,G,NaClO,0.001448614,14,0.831549468,1.559035874
Level13,17,16,G_17-16.csv,Younger Dryas,G,NaClO,0.000859066,7,0.746111584,2.269725799
Level14,16,15,G_16-15.csv,Younger Dryas,G,NaClO,0.001150189,21,0.827815317,1.631842935
Level15,15,14,G_15-14.csv,Younger Dryas,G,NaClO,0.002099193,13,0.786480055,1.514865912
Level16,14,13,G_14-13.csv,Younger Dryas,G,NaClO,5.43E-05,2,0.643794617,2.685064664
Level17,13,12,G_13-12.csv,Younger Dryas,G,NaClO,0.000138116,6,0.84484149,1.6562242
Level18,12,11,G_12-11.csv,Younger Dryas,G,NaClO,0.000174908,6,0.918646592,1.451361543
Level19,45,44,G_45-44.csv,GI-1,G,NaClO,0.00026718,2,0.832234892,1.294470259
Level20,44,43,n/a,GI-1,G,NaClO,0.00E+00,0,0,0
Level21,43,42,n/a,GI-1,G,NaClO,0,0,0,0
Level22,42,41,G_42-41.csv,GI-1,G,NaClO,0.000410845,1,0.199415135,2.858771304
Level23,41,40,G_41-40.csv,GI-1,G,NaClO,0.017289659,107,0.622910495,4.058663365
Level24,40,39,G_40-39.csv,GI-1,G,NaClO,0.003575549,31,0.529162776,3.861628548
Level25,39,38,G_39-38.csv,GI-1,G,NaClO,3.68E-05,1,0.795017901,1.394501838
Level26,38,37,G_38-37.csv,GI-1,G,NaClO,3.47E-05,2,0.651129547,3.844398199
Level27,37,36,G_37-36.csv,GI-1,G,NaClO,0.000162936,4,0.662561828,2.913461352
Level1,-19,-18,H_-19-18.csv,Holocene,H,H2O2,0.00030952,4,0.696794519,2.670925178
Level2,-18,-17,H_-18-17.csv,Holocene,H,H2O2,0.001897714,11,0.688174414,2.982359168
Level3,-17,-16,H_-17-16.csv,Holocene,H,H2O2,0.000971487,4,0.609310512,2.972315567
Level4,-16,-15,H_-16-15.csv,Holocene,H,H2O2,0.003144849,23,0.64626534,3.277518595
Level5,-15,-14,H_-15-14.csv,Holocene,H,H2O2,0.054574086,183,0.503108771,4.286471247
Level6,-14,-13,H_-14-13.csv,Holocene,H,H2O2,0.000499029,5,0.575694995,4.662467432
Level7,-13,-12,H_-13-12.csv,Holocene,H,H2O2,0.000549253,4,0.333577937,10.21498358
Level8,-12,-11,H_-12-11.csv,Holocene,H,H2O2,0.000503118,2,0.309966861,6.365177957
Level9,-11,-10,H_-11-10.csv,Holocene,H,H2O2,0.000107164,2,0.712618635,2.12683327
Level10,20,19,H_20-19.csv,Younger Dryas,H,H2O2,0.000914546,6,0.23022187,13.84742245
Level11,19,18,n/a,Younger Dryas,H,H2O2,0,0,0,0
Level12,18,17,n/a,Younger Dryas,H,H2O2,0,0,0,0
Level13,17,16,H_17-16.csv,Younger Dryas,H,H2O2,0.001044778,9,0.647349819,2.792408469
Level14,16,15,H_16-15.csv,Younger Dryas,H,H2O2,0.000998935,8,0.692317707,2.209712232
