 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
13,5th_Wat_G.tif (RGB),0.000004088,0.010436569,0.002912236,0.001787293,119.560858485,0.471635574,0.003933961,1.748640683,1.314722739,105.945395901,0.002659095,1.629411794,0.613718400,0.608695652
14,5th_Wat_G.tif (RGB),0.000290833,0.067258923,0.024432337,0.015156139,18.325128083,0.807892393,0.025299523,1.765392185,1.329312757,19.983106522,0.015830881,1.612042267,0.620331129,0.942735447
15,5th_Wat_G.tif (RGB),0.000433329,0.082280692,0.027478325,0.020078807,121.742600020,0.804325850,0.028316680,2.535961287,1.389293942,138.094058059,0.020467543,1.368523803,0.730714364,0.933039925
16,5th_Wat_G.tif (RGB),0.000217541,0.101602933,0.035842168,0.007727807,102.747002117,0.264812070,0.045084565,3.268164046,1.538436349,103.869686439,0.010496260,4.638077686,0.215606565,0.665475659
17,5th_Wat_G.tif (RGB),0.000329961,0.083601170,0.029294647,0.014341165,176.422245542,0.593263635,0.033244898,0.416626071,1.695143950,172.528440823,0.015083464,2.042696559,0.489548972,0.877329193
18,5th_Wat_G.tif (RGB),0.000285285,0.077749802,0.030895570,0.011756894,17.233510500,0.593048184,0.031955078,2.584594681,1.752963651,18.741340445,0.013008215,2.627868342,0.380536568,0.895508708
19,5th_Wat_G.tif (RGB),0.000391865,0.096931609,0.038355129,0.013008383,37.458976179,0.524101821,0.041242030,3.028779675,1.790789624,31.607502246,0.014750988,2.948493143,0.339156292,0.869170984
20,5th_Wat_G.tif (RGB),0.000661382,0.127278511,0.053102148,0.015858071,95.491144162,0.513040947,0.054788401,0.387446035,1.795112593,104.858614448,0.016720659,3.348587982,0.298633336,0.936530908
21,5th_Wat_G.tif (RGB),0.000287329,0.072291781,0.023130901,0.015816005,126.332234050,0.690893718,0.025830640,2.337104745,1.962087244,142.650650955,0.017784901,1.462499572,0.683760884,0.876224399
22,5th_Wat_G.tif (RGB),0.000208197,0.059933464,0.019330629,0.013713168,2.698499868,0.728357777,0.021883359,2.822357938,2.037739189,20.224859431,0.014085604,1.409639936,0.709401014,0.887920299
23,5th_Wat_G.tif (RGB),0.000001168,0.005218284,0.002279296,0.000652460,112.500000000,0.539012084,0.002416613,0.495520243,2.260372057,116.565051177,0.000967193,3.493389859,0.286254910,0.666666667
24,5th_Wat_G.tif (RGB),0.000673646,0.132311369,0.052971785,0.016191878,86.463016502,0.483556539,0.053825947,2.475980102,2.384117025,83.659808254,0.018372615,3.271503389,0.305669865,0.886114845
25,5th_Wat_G.tif (RGB),0.000386609,0.077641181,0.024620571,0.019993283,137.527514568,0.805930718,0.025403187,0.606836677,2.381415170,150.708637829,0.021005880,1.231442093,0.812056049,0.932066174
26,5th_Wat_G.tif (RGB),0.000465741,0.225146568,0.105890639,0.005600120,179.317419453,0.115457997,0.104404943,1.368219471,2.431129306,177.330110238,0.007531898,18.908635845,0.052885888,0.704660923
27,5th_Wat_G.tif (RGB),0.000137824,0.049835933,0.015105069,0.011617522,153.738127851,0.697349989,0.017088033,0.755979084,2.515967559,161.565051177,0.011846059,1.300197141,0.769114136,0.875695733
28,5th_Wat_G.tif (RGB),0.000576118,0.106472861,0.042835558,0.017124461,35.440859747,0.638621048,0.043800065,2.867208734,2.949345132,38.990994043,0.018444739,2.501425225,0.399772094,0.946964243
29,5th_Wat_G.tif (RGB),0.000664594,0.118229908,0.043937383,0.019258937,97.001867771,0.597463731,0.045045688,2.416539288,2.980686653,100.366322603,0.021862266,2.281402240,0.438326913,0.882341539
30,5th_Wat_G.tif (RGB),0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,1.824292629,3.046611920,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
31,5th_Wat_G.tif (RGB),0.000027740,0.037500113,0.017198646,0.002053637,39.154283125,0.247886261,0.018060038,1.807541126,3.060661567,38.927543593,0.002699009,8.374727431,0.119406871,0.722433460
32,5th_Wat_G.tif (RGB),0.000338721,0.114616830,0.050142913,0.008600876,26.422556440,0.324007600,0.051957174,1.742156231,3.075251585,26.565051177,0.009428076,5.829977585,0.171527246,0.886850153
33,5th_Wat_G.tif (RGB),0.000009928,0.014759537,0.006913246,0.001828484,84.209011221,0.572700340,0.006684021,1.250958956,3.182785421,75.963756532,0.002145373,3.780862764,0.264489896,0.839506173
34,5th_Wat_H.tif (RGB),0.000438877,0.106133823,0.043022844,0.012988354,16.761544704,0.489604449,0.045740422,1.346604630,0.049714136,14.364582450,0.014030133,3.312417029,0.301894354,0.906513872
35,5th_Wat_H.tif (RGB),0.000010220,0.015021769,0.003793788,0.003429961,14.122552829,0.569141007,0.005349400,1.363896503,0.225875094,45.000000000,0.004322968,1.106073092,0.904099383,0.700000000
36,5th_Wat_H.tif (RGB),0.000002044,0.005349400,0.002467497,0.001054716,33.400704743,0.897597901,0.002701855,1.363896503,0.228576950,36.869897646,0.001450790,2.339489068,0.427443758,0.777777778
37,5th_Wat_H.tif (RGB),0.000000876,0.003056800,0.001277780,0.000872890,45.000041778,1.000000000,0.001528400,1.369300214,0.229117321,45.000000000,0.001080742,1.463849222,0.683130465,0.857142857
38,5th_Wat_H.tif (RGB),0.000470705,0.121833668,0.036043559,0.016627679,23.323985230,0.398496388,0.038278719,1.336337580,0.245328452,18.946504690,0.019104318,2.167684337,0.461321782,0.848421053
39,5th_Wat_H.tif (RGB),0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,1.372002069,0.229117321,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
40,5th_Wat_H.tif (RGB),0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,1.374163553,0.229657692,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
41,5th_Wat_H.tif (RGB),0.000000584,0.002292600,0.001219487,0.000609743,0.000000000,1.000000000,0.001208306,1.357952422,0.230738434,153.434948823,0.000540371,2.000000000,0.500000000,1.000000000
42,5th_Wat_H.tif (RGB),0.000000876,0.003056800,0.001277780,0.000872890,45.000041778,1.000000000,0.001528400,1.356331309,0.232359547,45.000000000,0.001080742,1.463849222,0.683130465,0.857142857
43,5th_Wat_H.tif (RGB),0.000423985,0.081145640,0.027532908,0.019606893,167.302420641,0.809152229,0.029498518,1.787547398,0.298284814,8.426969021,0.019577423,1.404246355,0.712125758,0.952755906
44,5th_Wat_H.tif (RGB),0.000730586,0.124791167,0.045981571,0.020230087,114.616441262,0.589540451,0.050044894,0.662494894,0.842978821,114.904768808,0.022893066,2.272930015,0.439960753,0.906521739
45,5th_Wat_H.tif (RGB),0.001394596,0.161459591,0.054865756,0.032363628,94.203320959,0.672249696,0.056128400,0.420949040,1.103437662,113.850473908,0.036643705,1.695290627,0.589869362,0.921829763
46,5th_Wat_H.tif (RGB),0.000776722,0.116014114,0.037055719,0.026688283,32.869216870,0.725193620,0.040426833,0.842978821,1.410368413,37.942153350,0.028020884,1.388463957,0.720220352,0.933824820
47,5th_Wat_H.tif (RGB),0.000441797,0.083546860,0.028110093,0.020011097,43.756844582,0.795376325,0.029813598,2.799121984,1.634622394,43.531199286,0.021150206,1.404725199,0.711883008,0.945920600
48,5th_Wat_H.tif (RGB),0.000442965,0.105577545,0.044684406,0.012621874,25.694427048,0.499386104,0.043916576,3.082276408,1.892379380,18.657888474,0.014256407,3.540235385,0.282467094,0.902170681
49,5th_Wat_H.tif (RGB),0.000280321,0.072477207,0.023845533,0.014967816,142.718544138,0.670598115,0.027196290,1.582746774,1.878329733,139.028263666,0.017958701,1.593120384,0.627698955,0.903104421
50,5th_Wat_H.tif (RGB),0.000258421,0.060566548,0.020002974,0.016449131,108.239671614,0.885261583,0.021136729,0.296663701,2.093937777,122.471192291,0.016751502,1.216050537,0.822334245,0.956756757
51,5th_Wat_H.tif (RGB),0.000001460,0.005218284,0.001791622,0.001037571,135.000000000,0.673765106,0.002292600,3.291940371,2.323055098,135.000000000,0.001528400,1.726745897,0.579124005,0.714285714
52,5th_Wat_H.tif (RGB),0.000553050,0.091844440,0.027246802,0.025843938,68.916522574,0.823888089,0.030013708,1.312020883,2.374930718,103.535856369,0.025575552,1.054282157,0.948512686,0.947473737
53,5th_Wat_H.tif (RGB),0.000863739,0.121625747,0.045822163,0.024000309,130.254125762,0.733738194,0.047368076,1.307697915,2.406812609,124.777831366,0.024728026,1.909232184,0.523770764,0.950361446
54,5th_Wat_H.tif (RGB),0.000404713,0.083809092,0.028567147,0.018038093,34.307942080,0.724060665,0.030591874,3.013108915,2.506781251,54.344671902,0.018253401,1.583712153,0.631427875,0.929577465
55,5th_Wat_H.tif (RGB),0.000422525,0.098120971,0.033443165,0.016086272,89.778216458,0.551491537,0.039209495,0.508489148,2.545147595,82.874983651,0.019535844,2.078987922,0.481003275,0.835450346
56,5th_Wat_H.tif (RGB),0.000004088,0.007063226,0.002941441,0.001769547,97.161359989,1.000000000,0.003150878,2.299278772,2.542445740,120.963756532,0.001621113,1.662256541,0.601591858,0.965517241
57,5th_Wat_H.tif (RGB),0.000492897,0.089027376,0.029134927,0.021540350,138.598394002,0.781482556,0.031790171,1.678392448,2.768861205,121.798912824,0.022340712,1.352574479,0.739330821,0.929515419
58,5th_Wat_H.tif (RGB),0.000643278,0.103601487,0.035809947,0.022872048,22.213418643,0.753141383,0.039855799,1.518982991,2.811550517,12.528807709,0.025397439,1.565664197,0.638706564,0.947323156
59,5th_Wat_H.tif (RGB),0.000419605,0.087815518,0.034557197,0.015460107,148.201030195,0.683767140,0.035819712,1.574100837,2.835326843,146.070202578,0.016843977,2.235249473,0.447377356,0.925603865
60,5th_Wat_H.tif (RGB),0.000838042,0.116493586,0.042511194,0.025099949,78.295746890,0.776018118,0.042607151,0.917550025,2.918543983,74.553683632,0.024509480,1.693676522,0.590431518,0.962118672
61,5th_Wat_H.tif (RGB),0.000118552,0.045883817,0.016783255,0.008993818,15.827005550,0.707621380,0.017300314,2.338185487,2.937456970,14.470294100,0.010085231,1.866087926,0.535880430,0.908277405
62,5th_Wat_H.tif (RGB),0.000309813,0.091821944,0.028468942,0.013856014,1.370023304,0.461760105,0.028716031,1.950739452,2.970419603,160.201123645,0.014590018,2.054627128,0.486706316,0.853923541
63,5th_Wat_H.tif (RGB),0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,1.977758004,2.981227024,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
64,5th_Wat_H.tif (RGB),0.000448221,0.085522918,0.026666491,0.021401132,97.558463942,0.770082676,0.029364580,2.887202463,3.061742309,102.757532161,0.022345318,1.246031799,0.802547737,0.923863978
65,5th_Wat_H.tif (RGB),0.000002920,0.006746684,0.002068479,0.001797393,66.765599643,0.806145057,0.002701855,1.280138992,3.083357150,53.130102354,0.002161484,1.150821609,0.868944407,0.800000000
66,5th_Wat_H.tif (RGB),0.000453769,0.084889834,0.028584590,0.020212186,43.908744191,0.791286289,0.030653854,2.293875062,3.183325792,49.289153329,0.020197958,1.414225537,0.707100794,0.950749465
67,5th_Wat_H.tif (RGB),0.000541954,0.102891597,0.039584368,0.017432052,20.993115638,0.643297922,0.041443323,2.562439468,3.183325792,22.217594270,0.018367068,2.270780728,0.440377174,0.924763328
68,5th_Wat_H.tif (RGB),0.000343977,0.129398863,0.063756494,0.006869342,32.626000466,0.258153706,0.058604728,2.366284781,3.344356362,32.957424857,0.008134014,9.281310698,0.107743403,0.812413793
69,5th_Wat_H.tif (RGB),0.000444717,0.085522918,0.030947199,0.018296702,6.250633079,0.764062486,0.033555258,2.228490166,3.393530127,14.931417178,0.019217788,1.691408636,0.591223184,0.947139303
70,5th_Wat_I.tif (RGB),0.000000584,0.002292600,0.001219487,0.000609743,0.000000000,1.000000000,0.001208306,1.577883435,0.012968905,153.434948823,0.000540371,2.000000000,0.500000000,1.000000000
71,5th_Wat_I.tif (RGB),0.000499321,0.132573601,0.057600994,0.011037237,2.735104930,0.357006396,0.058370078,1.623274602,0.018912986,1.060911690,0.012937313,5.218787242,0.191615399,0.838235294
72,5th_Wat_I.tif (RGB),0.000004380,0.007827427,0.002993540,0.001862947,27.055678522,0.898353474,0.003460063,1.537355607,0.048633394,38.659808254,0.002161484,1.606884373,0.622322313,0.882352941
73,5th_Wat_I.tif (RGB),0.000001752,0.004585200,0.001697011,0.001314501,134.999880634,1.000000000,0.001948335,1.118027680,0.220471384,123.690067526,0.001528400,1.290993016,0.774597529,0.800000000
74,5th_Wat_I.tif (RGB),0.000189509,0.061855212,0.022104451,0.010915892,31.575429803,0.622423652,0.023782466,2.514346446,0.280992940,21.317912275,0.012325540,2.024978897,0.493832307,0.878213802
75,5th_Wat_I.tif (RGB),0.000002920,0.005982484,0.002143358,0.001734601,90.000000000,1.000000000,0.002416613,1.557349335,0.317738171,116.565051177,0.001621113,1.235649332,0.809291094,0.909090909
